cell_id,family,version,method_id,method_label,variant,epoch,global_step,checkpoint_sha256,score_mode,score_label,success_count,episode_count,success_rate,success_rate_percent,training_seed,planning_seed,selection_sha256,action_normalization_sha256,training_commit,evaluation_commit,planning_horizon,g_first_weight,status,comparison_role,source_kind,source_path,source_results_sha256,source_protocol_sha256,outcomes_sha256
fixed_checkpoint_original_scores__legacy__e10__serial_decoupled__f_only,actor_free_td_lewm,legacy,actor_free_td_lewm,Serial Decoupled,serial_decoupled,10,127960,cb8be3f9a851fca4e79a107ddaa5e00f1ee7f19c703d51ac2448a9b374d9fb74,f_only,F-only,20,50,0.4,40.0,3072,42,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,8e667cb6a8e98dbdaed87f29395d69e9d209bdf1,fa46ed99b705a8d476f23db1133419cbdfaffdb2,5,,VERIFIED,fixed_checkpoint_original_scores,raw_evaluation_crosschecked_by_locked_summary,/Users/wangjie/.codex/.chatgpt-projects/g-p-6a705f86be8c81919015a3f08810936a/artifacts/actor_free_td_lewm_final_lightweight_bundle_fa46ed9/methods/serial_decoupled/evaluations/f_only,4593f539f427be4d2ac588203398a9768715c956f0bba1f23adce6802b55f24a,726b449fa10c29de063297d3c95fa7f119109e0df86bb52edfbb0e104695d2ff,b771a8d2e9876e2eb5739ab8ddaab52d5108d84e0d77a82f94d264870ca1c885
fixed_checkpoint_original_scores__legacy__e10__serial_decoupled__g_only,actor_free_td_lewm,legacy,actor_free_td_lewm,Serial Decoupled,serial_decoupled,10,127960,cb8be3f9a851fca4e79a107ddaa5e00f1ee7f19c703d51ac2448a9b374d9fb74,g_only,G-only,15,50,0.3,30.0,3072,42,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,8e667cb6a8e98dbdaed87f29395d69e9d209bdf1,fa46ed99b705a8d476f23db1133419cbdfaffdb2,5,,VERIFIED,fixed_checkpoint_original_scores,raw_evaluation_crosschecked_by_locked_summary,/Users/wangjie/.codex/.chatgpt-projects/g-p-6a705f86be8c81919015a3f08810936a/artifacts/actor_free_td_lewm_final_lightweight_bundle_fa46ed9/methods/serial_decoupled/evaluations/g_only,cb466e1c8dcaf85f9729a4a27940d0420b3eb4a06470b1f5057097d7a637827d,b686f70cf676fdfb5019e0b21f9b3408617f82f5af4fe06bd88c15ec95b59abd,ad56af233f5cb721e3ce0b1a6f1e1d9864e3902fcb589ddf83e01993cf328f86
fixed_checkpoint_original_scores__legacy__e10__serial_decoupled__f_plus_g,actor_free_td_lewm,legacy,actor_free_td_lewm,Serial Decoupled,serial_decoupled,10,127960,cb8be3f9a851fca4e79a107ddaa5e00f1ee7f19c703d51ac2448a9b374d9fb74,f_plus_g,F+G,23,50,0.46,46.0,3072,42,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,8e667cb6a8e98dbdaed87f29395d69e9d209bdf1,8e667cb6a8e98dbdaed87f29395d69e9d209bdf1,5,,VERIFIED,fixed_checkpoint_original_scores,raw_evaluation_crosschecked_by_locked_summary,/Users/wangjie/.codex/.chatgpt-projects/g-p-6a705f86be8c81919015a3f08810936a/artifacts/actor_free_td_lewm_final_lightweight_bundle_fa46ed9/methods/serial_decoupled/evaluations/f_plus_g,0dfe88066f94aecd130d8da8140ae877fd415c797f63bd1b5a6b95a9c1d6e871,632fc3c2eb124a3d3623c2e095d88e38c10fedbd09d213a23fd74a41a89a150a,2aee31a57f855b1d684e8e2bc0708d3f69fe590982946e90ab64fb16a07ad82a
fixed_checkpoint_original_scores__legacy__e10__serial_coupled__f_only,actor_free_td_lewm,legacy,actor_free_td_lewm,Serial Coupled,serial_coupled,10,127960,2fe3fd5bcb2c8e5c71d88c80d372f4dd48855360373a3a41892bf57ee1a84de1,f_only,F-only,26,50,0.52,52.0,3072,42,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,8e667cb6a8e98dbdaed87f29395d69e9d209bdf1,fa46ed99b705a8d476f23db1133419cbdfaffdb2,5,,VERIFIED,fixed_checkpoint_original_scores,raw_evaluation_crosschecked_by_locked_summary,/Users/wangjie/.codex/.chatgpt-projects/g-p-6a705f86be8c81919015a3f08810936a/artifacts/actor_free_td_lewm_final_lightweight_bundle_fa46ed9/methods/serial_coupled/evaluations/f_only,79abc164bd0ab8225cdfdd6c58fcc42897b275da0761d631f7e3f29fbe28c79d,6814085715a3e800c052cca575169660837cbac88d8b65b6ae1804b05842d9da,76495b37c76d5c181186dfb6a9073839f131750fb768904fccb72d888d225b90
fixed_checkpoint_original_scores__legacy__e10__serial_coupled__g_only,actor_free_td_lewm,legacy,actor_free_td_lewm,Serial Coupled,serial_coupled,10,127960,2fe3fd5bcb2c8e5c71d88c80d372f4dd48855360373a3a41892bf57ee1a84de1,g_only,G-only,14,50,0.28,28.0,3072,42,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,8e667cb6a8e98dbdaed87f29395d69e9d209bdf1,fa46ed99b705a8d476f23db1133419cbdfaffdb2,5,,VERIFIED,fixed_checkpoint_original_scores,raw_evaluation_crosschecked_by_locked_summary,/Users/wangjie/.codex/.chatgpt-projects/g-p-6a705f86be8c81919015a3f08810936a/artifacts/actor_free_td_lewm_final_lightweight_bundle_fa46ed9/methods/serial_coupled/evaluations/g_only,275c767e69d2f40a936b636d2a0349b0ed144ede8e2e887ad8f62980bcef19df,9d5b025a77419b8e476936684ba9e199ba4051d8f36334f0f2208f3de938572e,42d73e5443f8087f9248fe585900d99ec2285fdc0ff9619507e49177573fb7d9
fixed_checkpoint_original_scores__legacy__e10__serial_coupled__f_plus_g,actor_free_td_lewm,legacy,actor_free_td_lewm,Serial Coupled,serial_coupled,10,127960,2fe3fd5bcb2c8e5c71d88c80d372f4dd48855360373a3a41892bf57ee1a84de1,f_plus_g,F+G,20,50,0.4,40.0,3072,42,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,8e667cb6a8e98dbdaed87f29395d69e9d209bdf1,8e667cb6a8e98dbdaed87f29395d69e9d209bdf1,5,,VERIFIED,fixed_checkpoint_original_scores,raw_evaluation_crosschecked_by_locked_summary,/Users/wangjie/.codex/.chatgpt-projects/g-p-6a705f86be8c81919015a3f08810936a/artifacts/actor_free_td_lewm_final_lightweight_bundle_fa46ed9/methods/serial_coupled/evaluations/f_plus_g,f258243815b00e18a082281270822622b34b5b17f697dbe704f6907ec5a7f709,7de34b3f8c4910f80e28364018384749a88dc46345a73e9b424ed3b03bfa21ee,0a8d00c0778e904a36e480f05431ae1cebd88271c26dfa919ef8a1eecbb47d27
fixed_checkpoint_original_scores__legacy__e10__hybrid__f_only,actor_free_td_lewm,legacy,actor_free_td_lewm,Hybrid,hybrid,10,127960,299222acff781fc8d20b0c8079297776f44f0b756f4007eeae370270c3547c3b,f_only,F-only,25,50,0.5,50.0,3072,42,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,8e667cb6a8e98dbdaed87f29395d69e9d209bdf1,fa46ed99b705a8d476f23db1133419cbdfaffdb2,5,,VERIFIED,fixed_checkpoint_original_scores,raw_evaluation_crosschecked_by_locked_summary,/Users/wangjie/.codex/.chatgpt-projects/g-p-6a705f86be8c81919015a3f08810936a/artifacts/actor_free_td_lewm_final_lightweight_bundle_fa46ed9/methods/hybrid/evaluations/f_only,1c44bca97ef742918b2f7279ba1f46ae82613a616cc255a43924d9a6f39c05bc,42b58dbe35c670118a0041e7060b119b035e58121913e5795674466d5fd64fef,0faa837c2fab45db5455ccd0b017d660428e5e9c91627b861e82f5811493182d
fixed_checkpoint_original_scores__legacy__e10__hybrid__g_only,actor_free_td_lewm,legacy,actor_free_td_lewm,Hybrid,hybrid,10,127960,299222acff781fc8d20b0c8079297776f44f0b756f4007eeae370270c3547c3b,g_only,G-only,13,50,0.26,26.0,3072,42,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,8e667cb6a8e98dbdaed87f29395d69e9d209bdf1,fa46ed99b705a8d476f23db1133419cbdfaffdb2,5,,VERIFIED,fixed_checkpoint_original_scores,raw_evaluation_crosschecked_by_locked_summary,/Users/wangjie/.codex/.chatgpt-projects/g-p-6a705f86be8c81919015a3f08810936a/artifacts/actor_free_td_lewm_final_lightweight_bundle_fa46ed9/methods/hybrid/evaluations/g_only,965617c02f6aa5a07387ee101119df93e64f0fd3f4948b588629fb109cccf139,b7e13cb3ec2a370d54fbd75447aef335bc6f333a88b46d122c0657581fa21459,7e1c5ca0992749157ff86c3ea8e715708b982193a53ffceae225612f59983491
fixed_checkpoint_original_scores__legacy__e10__hybrid__f_plus_g,actor_free_td_lewm,legacy,actor_free_td_lewm,Hybrid,hybrid,10,127960,299222acff781fc8d20b0c8079297776f44f0b756f4007eeae370270c3547c3b,f_plus_g,F+G,27,50,0.54,54.0,3072,42,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,8e667cb6a8e98dbdaed87f29395d69e9d209bdf1,8e667cb6a8e98dbdaed87f29395d69e9d209bdf1,5,,VERIFIED,fixed_checkpoint_original_scores,raw_evaluation_crosschecked_by_locked_summary,/Users/wangjie/.codex/.chatgpt-projects/g-p-6a705f86be8c81919015a3f08810936a/artifacts/actor_free_td_lewm_final_lightweight_bundle_fa46ed9/methods/hybrid/evaluations/f_plus_g,23f1c331420e9ec44ad5db2581297fad5eda2206e542b33f1d26f50c1c8ca5bc,889f14a8a28438605ff4980f977290d2c104cad9a3fd92d7b00fb54284ecd1e0,06820f1c99f0aad8078dde2149613d3e86d2925fb7460262952fa7b7b40369c4
fixed_checkpoint_original_scores__legacy__e10__parallel_real__f_only,actor_free_td_lewm,legacy,actor_free_td_lewm,Parallel Real,parallel_real,10,127960,61b5614a7b9217e4b082b22d5168271c7a9248060774135e06d26c8792feb666,f_only,F-only,17,50,0.34,34.0,3072,42,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,e895637d8c7e92ca82b3b4dbfcb3d8cd2f94b904,fa46ed99b705a8d476f23db1133419cbdfaffdb2,5,,VERIFIED,fixed_checkpoint_original_scores,raw_evaluation_crosschecked_by_locked_summary,/Users/wangjie/.codex/.chatgpt-projects/g-p-6a705f86be8c81919015a3f08810936a/artifacts/actor_free_td_lewm_final_lightweight_bundle_fa46ed9/methods/parallel_real/evaluations/f_only,856ff534f97615af7b994f967c5a84b33e1275ceaf150cfa1644579486ea10c5,f85c189452fe31cd22842b5208afb8d22cae77161e6813b5f50889c3b718fbed,62d83f3bd276dc0a1aacece6e287fcca1252a0447fb8dbc23ef2c44e6ee54590
